antecedent,consequent,support,confidence,lift,count
beverages,bottled water,0.0010693042839002875,0.06451612903225806,1.0631661219269575,16
berries,pip fruit,0.0011361358016440553,0.05214723926380368,1.063050600959529,17
UHT-milk,tropical fruit,0.0015371249081066632,0.071875,1.0606169871794873,23
detergent,rolls/buns,0.0010024727661565194,0.11627906976744186,1.0570374975274803,15
hygiene articles,root vegetables,0.0010024727661565194,0.07317073170731707,1.0517326210726083,15
pot plants,other vegetables,0.0010024727661565194,0.1282051282051282,1.0499908775770843,15
frozen meals,other vegetables,0.002138608567800575,0.12749003984063745,1.0441343547539452,32
ice cream,rolls/buns,0.0017376194613379669,0.1145374449339207,1.041205217828831,26
meat,other vegetables,0.002138608567800575,0.12698412698412698,1.0399909644573027,32
waffles,root vegetables,0.0013366303548753592,0.07220216606498195,1.0378107692894571,20
butter,citrus fruit,0.0019381140145692708,0.05502846299810247,1.035711813635984,29
hard cheese,rolls/buns,0.001670787943594199,0.11363636363636363,1.0330139180382194,25
dessert,sausage,0.0014702933903628951,0.06232294617563739,1.0327112332514532,22
detergent,whole milk,0.001403461872619127,0.16279069767441862,1.030824041177455,21
brown bread,pastry,0.002004945532313039,0.05328596802841918,1.0301265369628374,30
pastry,sausage,0.003207912851700862,0.06201550387596899,1.0276168156103256,48
sausage,pastry,0.003207912851700862,0.053156146179401995,1.0276168156103256,48
sausage,soda,0.005948005079195348,0.09856035437430787,1.0149749363405152,89
soda,sausage,0.005948005079195348,0.06125258086717137,1.0149749363405152,89
ham,whole milk,0.0027400922274944863,0.16015625,1.0141421789039358,41
citrus fruit,yogurt,0.004611374724319989,0.08679245283018867,1.0106423904265471,69
yogurt,citrus fruit,0.004611374724319989,0.053696498054474705,1.0106423904265471,69
shopping bags,root vegetables,0.003341575887188398,0.0702247191011236,1.0093875810856026,50
hard cheese,yogurt,0.0012697988371315912,0.08636363636363636,1.0056490979837283,19
berries,other vegetables,0.0026732607097507185,0.12269938650306748,1.0048992447977005,40
specialty bar,yogurt,0.0012029673193878234,0.0861244019138756,1.0028633664103663,18
salty snack,sausage,0.0011361358016440553,0.060498220640569395,1.0024749451216388,17
grapes,soda,0.001403461872619127,0.09722222222222222,1.0011948459126712,21
beef,citrus fruit,0.001804450979081735,0.0531496062992126,1.000349130886941,27
fruit/vegetable juice,rolls/buns,0.003742564993651006,0.1100196463654224,1.0001360683874942,56
bottled beer,whole milk,0.007150972398583172,0.15781710914454278,0.9993302598941151,107
newspapers,pastry,0.002004945532313039,0.05154639175257732,0.9964969764777964,30
frozen fish,whole milk,0.0010693042839002875,0.1568627450980392,0.9932870312746344,16
oil,other vegetables,0.001804450979081735,0.1210762331838565,0.9916057346086726,27
long life bakery product,sausage,0.0010693042839002875,0.05970149253731343,0.9892729045800895,16
chocolate,sausage,0.001403461872619127,0.059490084985835696,0.9857698135582055,21
soft cheese,other vegetables,0.0012029673193878234,0.12,0.982791461412151,18
chocolate,bottled water,0.001403461872619127,0.059490084985835696,0.9803415656861889,21
hard cheese,root vegetables,0.0010024727661565194,0.06818181818181818,0.9800235787267486,15
ham,tropical fruit,0.0011361358016440553,0.06640625,0.9799178685897437,17
specialty bar,other vegetables,0.001670787943594199,0.11961722488038277,0.9796565604188109,25
candy,yogurt,0.0012029673193878234,0.08372093023255814,0.974876481766356,18
cream cheese ,root vegetables,0.001603956425850431,0.06779661016949153,0.9744867223497614,24
white bread,sausage,0.001403461872619127,0.0584958217270195,0.9692945520502688,21
pork,yogurt,0.0030742498162133263,0.08288288288288288,0.9651179584253514,46
margarine,sausage,0.001871282496825503,0.058091286307053944,0.9625912702241951,28
frankfurter,bottled water,0.002205440085544343,0.0584070796460177,0.9624946395852013,33
canned beer,yogurt,0.0038762280291385416,0.08262108262108261,0.9620694624585674,58
salty snack,other vegetables,0.002205440085544343,0.11743772241992882,0.9618065903499698,33
shopping bags,soda,0.004410880171088686,0.09269662921348315,0.9545902704207492,66
salty snack,yogurt,0.0015371249081066632,0.08185053380782918,0.9530969162385587,23
domestic eggs,bottled water,0.002138608567800575,0.05765765765765766,0.9501448585149026,32
onions,root vegetables,0.0013366303548753592,0.066006600660066,0.9487576999774904,20
curd,bottled water,0.0019381140145692708,0.057539682539682536,0.9482007377106495,29
frozen meals,soda,0.0015371249081066632,0.09163346613545817,0.9436418126530356,23
candy,whole milk,0.002138608567800575,0.14883720930232558,0.9424676947908158,32
sausage,whole milk,0.008955423377664907,0.14839424141749724,0.9396627314134623,134
whole milk,sausage,0.008955423377664907,0.05670757511637749,0.9396627314134621,134
